East of England,898,580,0.65,0.60
KSS,696,665,0.96,0.95
LNR,317,227,0.72,0.68
London,1238,2200,1.78,2.07
North West of England,1062,1437,1.35,1.42
Northern,520,490,0.94,0.94
Northern Ireland,412,349,0.85,0.84
Peninsula,313,271,0.87,0.86
Scotland,1109,1117,1.01,1.01
Severn,405,496,1.22,1.24
Thames Valley Oxford,364,596,1.64,1.69
Trent,505,237,0.47,0.43
Wales,463,303,0.65,0.64
Wessex,417,252,0.60,0.58
West Midlands Central,297,330,1.11,1.16
West Midlands North,446,171,0.38,0.35
West Midlands South,294,159,0.54,0.52
Yorkshire and Humber,878,758,0.86,0.84
