East Anglia,335,134,0.40,0.39
EBH,369,210,0.57,0.55
KSS,581,290,0.50,0.48
LNR,238,155,0.65,0.63
London,989,2387,2.41,2.74
North West of England,901,1112,1.23,1.26
Northern,443,422,0.95,0.95
Northern Ireland,284,266,0.94,0.94
Peninsula,253,162,0.64,0.63
Scotland,879,831,0.95,0.94
Severn,352,478,1.36,1.37
Thames Valley Oxford,286,357,1.25,1.27
Trent,397,211,0.53,0.52
Wales,459,277,0.60,0.59
Wessex,367,249,0.68,0.67
West Midlands Central,224,307,1.37,1.47
West Midlands North,366,130,0.36,0.33
West Midlands South,232,119,0.51,0.49
Yorkshire and Humber,700,558,0.80,0.78
