East Anglia,251,121,0.48,0.48
EBH,260,148,0.57,0.56
LNR,158,87,0.55,0.54
North London,562,1409,2.51,2.63
North West of England,786,810,1.03,1.03
Northern Ireland,236,185,0.78,0.78
Northern,329,293,0.89,0.89
Oxford,215,310,1.44,1.46
Peninsula,184,175,0.95,0.95
Scotland,812,805,0.99,0.99
Severn,261,310,1.19,1.19
South Thames,742,679,0.92,0.91
Trent,296,192,0.65,0.65
Wales,358,214,0.60,0.60
Wessex,290,216,0.74,0.74
West Midlands Central,180,266,1.48,1.49
West Midlands North,222,91,0.41,0.41
West Midlands South,152,87,0.57,0.57
Yorkshire and Humber,550,431,0.78,0.78
